id,title,content,createdAt,updatedAt,commentCount,likeCount,topics
229136973,資應ㄏㄏ,"資應哪個系的
資管的嗎？
菁英班很強ㄟ
可是我不想跟資應同個系所ㄟ",2018-06-25T11:51:20.313Z,2018-06-26T13:09:16.576Z,25,11,[]
229136889,診所打工,"地點：民權路100號 新笙聯合診所
工作內容：掛號貼病歷
工作時段：2.4.5晚上 晚上6：30~9：30
限護理系學生女生 長期工讀生哦~
滿輕鬆的工作 可以帶自己要讀的書去看
裡面的大家都很好很友善哦
由於我在新笙診所打工到8月底而已
所以有興趣的都可以告訴我哦~~
也幫我問問有沒有興趣的人😊",2018-06-25T11:32:55.120Z,2018-06-26T07:10:10.471Z,17,12,"['中科大', '工讀', '徵才', '打工', '工作']"
229136850,中友意外,"如同圖的狀況 人就這樣掉下來
專櫃小姐應該嚇死吧 願一切平安 
https://i.imgur.com/Y50wQzT.jpg",2018-06-25T11:27:50.511Z,2018-06-28T10:32:51.474Z,26,54,[]
229136830,失物招領  學生證,"護理五專的  王思渝小妹妹
你的學生證躺在馬路上
但是我撿到的時候民生都沒人囉
明天我會送去教官室
再麻煩你明天下午去領哦！https://i.imgur.com/fxJxTmr.jpg",2018-06-25T11:24:46.194Z,2018-06-25T11:24:46.194Z,4,5,[]
229136559,#中友麥當勞#發票,"6/25中午12:11
在中友麥當勞消費的三位男同學
結帳時不小心把發票金額打錯
原本的消費金額是374誤打成2,374
發票號碼是 DK42933684
如果是那位客人
於今日跟我們聯繫的話
我們願意請你吃一份套餐
可以拜託拿回來給我們嘛
或是打電話到04-22259169
去找你拿回也可以
謝謝",2018-06-25T10:47:08.920Z,2018-06-26T16:49:30.906Z,19,129,"['中科大', '尋物']"
229136508,誠徵室友（更,"✨找到室友了 謝謝各位✨
✨也祝各位找到好房子好房東✨

誠徵室友 限女生
月租3500
在珍煮丹樓上
房間大概10坪含衛浴
兩張單人床
有獨立陽台
電費台電計
我一星期只回家住一兩次
所以基本上也像是一個人住
😭😭😭
被口口聲聲說要復學的朋友騙
租金跟約都簽了她才說不付錢不會回來
我會乖乖打掃不會大聲嚷嚷的
誠心找室友",2018-06-25T10:39:28.336Z,2018-07-07T12:16:25.354Z,20,39,"['中科大', '租屋', '學生', '租房', '一中街']"
229135665,學校附近飲料店工作機會🥤,"#波囍工作夥伴大募集

想要當個帥氣的Tea-tender展現自己非凡的泡茶功力嗎？
想要每天穿著帥死人不償命的制服上班嗎？

快來波囍吧！
絕對不會讓妳/你後悔的工作選擇！

👍工作地點：波囍二號店
                        
👍應徵職缺：「早班」「晚班」男性計時工讀

👍工作時間：計時工讀由公司排班

👍工作條件：工作態度熱心負責；口條流利；具相關餐飲經驗者尤佳。並備機車駕照，歡迎夜校生。

請備妥相關個人履歷
☎️04-22293267
LINE: @pul3498z
🏠台中市北區太平路133號",2018-06-25T08:15:48.199Z,2018-06-25T08:15:48.199Z,9,13,"['中科大', '工讀', '打工職缺', '打工']"
229135486,學生證 失物招領,"https://i.imgur.com/V8MP8FR.jpg
何同學你的學生證在放在7602電腦教室
請至生輔組領取。",2018-06-25T07:38:44.575Z,2018-06-25T07:38:44.575Z,3,3,"['失物招領', '遺失物尋獲']"
229135191,小海螺藍牙喇叭(買就送世足杯),"顏色：橘色(已售)、香檳紫(已售)、太空灰(已售)
全部都沒有囉❗️❗️感謝大家捧場 有夾到再開放留言
現在買海螺送世足玻璃杯 一樣佛心價$500
比較推薦用來聽音樂 聲音比較不會延遲 看影片或玩遊戲會延遲一點點 建議使用音源線才不會延遲
內容物：喇叭、說明書、正版認證卡、usb充電線、音源線
全新未使用 便宜賣 皆為娃娃機台夾到
意願購買者下方留言 學校面交
https://i.imgur.com/cyOTokb.jpg
https://i.imgur.com/EpgHVJ1.jpg
https://i.imgur.com/Fvi84dz.jpg
https://i.imgur.com/wf5bGj4.jpg
https://i.imgur.com/wFxmSVD.jpg
https://i.imgur.com/l63FpAB.jpg",2018-06-25T06:43:11.756Z,2018-06-27T05:43:01.314Z,29,8,[]
229134623,健身房,"想請問一下段考週
健身房是會開的嗎？？？",2018-06-25T04:39:58.992Z,2018-06-25T04:39:58.992Z,2,4,"['中科大', '學生']"
229134282,期末考沒事做？,"https://i.imgur.com/dfQ1hhn.jpg

(發限時的是本樓層的)
到底是哪裡的也太無聊",2018-06-25T03:28:15.684Z,2018-06-25T11:11:05.896Z,3,49,[]
229131565,更新：OK禮券已出售完畢🤗🤗,"我有1,534元的OK禮券，
有興趣者歡迎留言👏👏👏



交易地點：學校內均可
交易時間：平日均可
出價：新台幣1,100元",2018-06-24T15:47:30.808Z,2018-06-25T03:20:51.482Z,29,5,"['ok超商', '中科大']"
229131173,求推薦雷射切割店家,"已知學校的雷切是一分鐘十五元
之前有聽別系學長姐推薦「學校後面」附近的雷切店家
聽說是有一分鐘五元的超佛價格
當初有記錄下來但是後來弄丟了（學長姐也畢業了）

想請求設計學院的同學推薦優質雷切店家！！",2018-06-24T15:00:37.168Z,2018-06-27T06:58:23.106Z,4,14,[]
229130463,祝大家期末歐趴,"https://i.imgur.com/7SoIhEy.jpg
商業設計系zine網路展覽
拜託大家幫幫忙
我們需要集到500個追蹤
謝謝大家的愛心❤️
祝大家期末歐趴然後順利脫魯歐
裡面有很多很棒的作品歐
大家可以去看看歐",2018-06-24T13:20:31.958Z,2018-06-24T22:42:52.284Z,2,40,"['中科大', '商業設計']"
